,Unnamed: 0,Date,XOM-Price,XOM-Yield,TSLA-Price,TSLA-Yield,LLY-Price,LLY-Yield,AAPL-Price,AAPL-Yield,NVDA-Price,NVDA-Yield,JPM-Price,JPM-Yield,AMZN-Price,AMZN-Yield,V-Price,V-Yield,UNH-Price,UNH-Yield,Govt_Yield,XOM-spread,TSLA-spread,LLY-spread,AAPL-spread,NVDA-spread,JPM-spread,AMZN-spread,V-spread,UNH-spread,V-%K,V-%D,JPM-%K,JPM-%D,LLY-%K,LLY-%D,XOM-%K,XOM-%D,NVDA-%K,NVDA-%D,AMZN-%K,AMZN-%D,AAPL-%K,AAPL-%D,UNH-%K,UNH-%D,TSLA-%K,TSLA-%D
416,416,2020-08-28,108.506,0.787,86.093,8.259,109.866,0.638,110.64,0.527,113.226,0.943,111.467,0.964,113.323,0.626,112.364,0.759,114.331,0.749,0.724,0.063,7.535,-0.0859999999999999,-0.1969999999999999,0.2189999999999999,0.24,-0.0979999999999999,0.035,0.025,32.00000000000135,10.829466829467473,41.582733812949414,13.860911270983129,48.571428571429095,30.663463478611636,88.96713615023548,44.20455872579087,46.16419919246289,15.388066397487615,68.80907372400617,39.313398455658444,36.50385604113045,12.231686876679603,28.969072164949093,9.656357388316364,100.0,97.51851851851852
417,417,2020-08-31,108.555,0.775,86.751,8.077,109.872,0.636,110.727,0.502,113.294,0.931,111.483,0.958,113.349,0.619,112.422,0.748,114.398,0.734,0.706,0.069,7.371,-0.0699999999999999,-0.2039999999999999,0.2250000000000001,0.252,-0.0869999999999999,0.042,0.028,55.0200803212848,29.169493603229075,53.22862129144901,31.60378503479946,50.12987012987076,35.65467018856905,100.0,72.15571205007859,68.95973154362397,38.374643578695604,100.0,61.798917149707705,77.36486486486662,38.01997516496848,48.333333333333265,25.76746849942745,100.0,100.0
418,418,2020-09-01,108.766,0.729,87.042,7.998,109.975,0.613,110.964,0.439,113.408,0.912,111.641,0.918,113.402,0.605,112.53,0.727,114.46,0.721,0.672,0.0569999999999999,7.326,-0.059,-0.233,0.24,0.246,-0.067,0.0549999999999999,0.0489999999999999,100.0,62.34002677376205,97.6793248945157,64.16355999963803,76.88311688311668,58.528138528138875,100.0,96.32237871674516,100.0,71.70797691202894,100.0,89.60302457466871,100.0,71.28957363533236,75.09157509157357,50.79799352995198,100.0,100.0
419,419,2020-09-02,108.624,0.758,87.436,7.891,110.139,0.579,110.999,0.428,113.436,0.906,111.672,0.909,113.41,0.601,112.618,0.71,114.456,0.72,0.648,0.1099999999999999,7.243,-0.069,-0.22,0.258,0.261,-0.047,0.0619999999999999,0.0719999999999999,100.0,85.00669344042826,100.0,83.63598206198823,100.0,75.67099567099585,77.77777777777655,92.5925925925922,100.0,89.65324384787465,100.0,100.0,100.0,92.45495495495555,78.37837837837942,67.26776226776208,100.0,100.0
420,420,2020-09-03,108.636,0.751,87.86,7.781,110.141,0.574,110.927,0.438,113.288,0.926,111.632,0.911,113.376,0.601,112.576,0.713,114.505,0.704,0.636,0.1149999999999999,7.145,-0.062,-0.198,0.29,0.275,-0.035,0.0769999999999999,0.0679999999999999,91.06382978723369,97.02127659574455,91.90283400809878,96.52738630087147,100.0,92.29437229437225,79.65571205007706,85.81116327595122,73.23688969258458,91.07896323086152,90.98143236074476,96.99381078691492,85.62874251497207,95.20958083832403,87.8378378378374,80.43593043593013,100.0,100.0
421,421,2020-09-04,108.348,0.812,86.793,8.077,109.955,0.61,110.719,0.49,112.971,0.976,111.365,0.973,113.073,0.667,112.295,0.763,114.225,0.757,0.721,0.091,7.356,-0.1109999999999999,-0.2309999999999999,0.255,0.252,-0.0539999999999999,0.042,0.036,31.276595744682112,74.11347517730526,37.85425101214528,76.58569500674801,56.02836879432477,85.3427895981083,34.58528951486701,64.00625978090687,15.913200723328435,63.05003013863766,10.610079575594836,67.19717064544652,44.11177644710451,76.58017298735886,33.783783783783186,66.66666666666667,67.91942273000616,89.3064742433354
422,422,2020-09-08,108.669,0.742,86.785,8.081,109.969,0.606,110.715,0.489,113.075,0.958,111.281,0.991,113.085,0.662,112.283,0.764,114.241,0.752,0.682,0.0599999999999999,7.398999999999999,-0.076,-0.193,0.2759999999999999,0.3089999999999999,-0.02,0.0819999999999999,0.0699999999999999,28.723404255320307,50.3546099290787,20.850202429151558,50.202429149798526,59.33806146571855,71.78881008668114,84.82003129890346,66.35367762128253,34.71971066907835,41.28993369499711,13.79310344827404,38.46153846153787,43.31337325349358,57.684630738523396,41.97802197802268,54.53321453321443,67.09519436792152,78.33820569930924
423,423,2020-09-09,108.422,0.794,86.306,8.217,109.786,0.643,110.686,0.494,113.068,0.959,111.184,1.013,113.104,0.656,112.322,0.755,114.244,0.75,0.698,0.096,7.519,-0.0549999999999999,-0.2039999999999999,0.261,0.3149999999999999,-0.0419999999999999,0.057,0.052,37.02127659574617,32.340425531916196,1.2145748987854716,19.973009446694096,16.07565011820273,43.81402679274871,46.16588419405275,55.19040166927442,33.453887884267345,28.0289330922247,18.832891246684042,14.412024756850963,37.524950099801586,41.6500332667999,42.637362637363374,39.46638946638975,52.433425160697766,62.48268075287516
424,424,2020-09-10,108.239,0.831,86.45,8.182,109.748,0.647,110.669,0.493,113.135,0.945,111.318,0.975,113.11,0.649,112.32,0.752,114.363,0.722,0.682,0.1489999999999999,7.5,-0.035,-0.189,0.2629999999999999,0.2929999999999999,-0.033,0.0699999999999999,0.0399999999999999,36.59574468085052,34.113475177305666,28.340080971660047,16.80161943319902,7.092198581560521,27.50197005516063,5.724508050091237,45.57014118101583,45.56962025316534,37.914406268837006,20.424403183023642,17.683465959327233,34.131736526945204,38.32335329341347,68.79120879120957,51.13553113553187,56.047381546134744,58.525333691584684
425,425,2020-09-11,108.25,0.827,85.79,8.369,110.007,0.593,110.759,0.467,113.227,0.929,111.42,0.949,113.153,0.638,112.324,0.75,114.431,0.707,0.669,0.1579999999999999,7.699999999999999,-0.076,-0.202,0.26,0.2799999999999999,-0.031,0.0809999999999999,0.0379999999999999,37.4468085106388,37.02127659574517,48.98785425101306,26.18083670715285,68.32151300236411,30.496453900709145,7.6923076923086695,19.860899978817567,62.206148282097864,47.0765521398435,31.830238726792047,23.6958443854999,52.09580838323365,41.25083166999349,83.7362637362641,65.05494505494569,21.561197423266524,43.34733471003302
426,426,2020-09-14,108.307,0.814,85.065,8.578,109.948,0.604,110.726,0.473,113.329,0.912,111.3,0.976,113.083,0.651,112.33,0.748,114.425,0.707,0.676,0.1379999999999999,7.901999999999999,-0.072,-0.203,0.236,0.2999999999999999,-0.025,0.0719999999999999,0.0309999999999999,38.72340425531971,37.58865248226968,24.696356275303632,34.00809716599224,54.37352245862619,43.262411347516974,17.889087656530666,10.435301132976873,80.65099457504317,62.80892103676879,8.659217877092898,20.30461992896952,45.508982035927886,43.91217564870226,82.41758241758272,78.3150183150188,0.0,25.869526323133766
427,427,2020-09-15,108.579,0.753,85.295,8.514,109.946,0.603,110.757,0.463,113.218,0.929,111.26,0.984,113.046,0.658,112.324,0.748,114.451,0.7,0.68,0.0729999999999999,7.834,-0.077,-0.217,0.249,0.3039999999999999,-0.022,0.0679999999999999,0.0199999999999999,37.4468085106388,37.872340425532435,16.599190283402404,30.094466936573024,53.9007092198566,58.865248226949,64.51612903225589,30.032508127031758,60.57866184448481,67.81193490054194,0.0,13.496485534628306,51.69660678642819,49.76713240186325,88.13186813186763,84.76190476190483,8.228980322003714,9.930059248423422
428,428,2020-09-16,108.547,0.759,84.837,8.647,109.832,0.625,110.693,0.478,113.331,0.91,111.284,0.976,113.031,0.659,112.388,0.735,114.577,0.674,0.698,0.061,7.949,-0.0729999999999999,-0.2199999999999999,0.212,0.278,-0.0389999999999999,0.037,-0.0239999999999999,50.64377682403589,42.27132986333147,21.45748987854429,20.917678812416767,26.950354609926624,45.074862096136506,58.444022770396984,46.94974648639453,81.01265822784778,74.08077154912525,0.0,2.8864059590309563,38.80000000000052,45.33519627411888,100.0,90.18315018315013,0.0,2.7429934406679144
429,429,2020-09-17,108.269,0.817,84.581,8.727,109.842,0.619,110.674,0.476,113.15,0.936,111.304,0.965,113.031,0.653,112.444,0.721,114.578,0.669,0.689,0.128,8.038,-0.0699999999999999,-0.2129999999999999,0.2470000000000001,0.276,-0.0359999999999999,0.032,-0.0199999999999999,48.05970149253862,45.38342894240444,24.590163934427185,20.882281365457953,23.918575063611687,34.923212964465,5.692599620493563,42.884250474382156,38.49462365591413,60.02864790941556,0.0,0.0,9.47075208913831,33.322452958522355,100.0,96.0439560439559,0.0,2.7429934406679144
430,430,2020-09-18,108.415,0.783,84.566,8.733,109.806,0.626,110.599,0.494,113.104,0.942,111.306,0.963,113.022,0.654,112.444,0.72,114.54,0.675,0.697,0.086,8.036000000000001,-0.0709999999999999,-0.2029999999999999,0.245,0.266,-0.0429999999999999,0.023,-0.0219999999999999,48.05970149253862,48.921059936371044,25.0,23.682551270990484,14.758269720099904,21.87573313121277,33.396584440228004,32.5110689437062,28.602150537633246,49.36981080713171,0.0,0.0,0.0,16.09025069637962,89.23512747875473,96.41170915958492,0.0,0.0
431,431,2020-09-21,108.259,0.816,84.191,8.844,109.845,0.617,110.519,0.513,113.196,0.927,111.248,0.975,112.909,0.677,112.318,0.742,114.48,0.685,0.669,0.1469999999999999,8.174999999999999,-0.052,-0.156,0.258,0.3059999999999999,0.008,0.0729999999999999,0.016,10.447761194029027,35.52238805970209,13.114754098362136,20.9016393442631,24.68193384223767,21.11959287531645,3.795066413661477,14.294750158127693,48.387096774191974,38.4946236559131,0.0,0.0,0.0,3.1569173630461127,72.23796033994431,87.15769593956635,0.0,0.0
432,432,2020-09-22,108.349,0.796,83.088,9.169,109.826,0.619,110.54,0.505,113.171,0.93,111.238,0.976,112.886,0.68,112.367,0.732,114.506,0.678,0.671,0.125,8.498000000000001,-0.052,-0.166,0.259,0.3049999999999999,0.009,0.0609999999999999,0.007,25.07462686567306,27.860696517413572,11.065573770492234,16.39344262295145,19.84732824427191,19.76251060220319,25.581395348837514,20.924348734242347,43.01075268817234,39.999999999999176,0.0,0.0,4.375000000000259,1.4583333333334292,79.60339943342748,80.35882908404218,0.0,0.0
433,433,2020-09-23,108.185,0.831,83.467,9.06,109.681,0.648,110.435,0.531,112.92,0.969,111.106,1.006,112.814,0.695,112.005,0.797,114.457,0.686,0.677,0.1539999999999999,8.383000000000001,-0.029,-0.146,0.2919999999999999,0.3289999999999999,0.0179999999999999,0.12,0.009,0.0,11.840796019900695,0.0,8.060109289618117,0.0,14.843087362169888,0.0,9.79215392083301,0.0,30.465949820788087,0.0,0.0,0.0,1.4583333333334292,65.72237960339763,72.52124645892314,7.942162615255752,2.6473875384185934
434,434,2020-09-24,107.943,0.88,82.519,9.347,109.536,0.674,110.373,0.541,112.811,0.984,110.926,1.044,112.705,0.714,111.92,0.809,114.196,0.733,0.668,0.2119999999999999,8.679,0.006,-0.127,0.3159999999999999,0.376,0.0459999999999999,0.141,0.0649999999999999,0.0,8.358208955224354,0.0,3.688524590164071,0.0,6.6157760814239985,0.0,8.527131782945853,0.0,14.336917562724098,0.0,0.0,0.0,1.4583333333334292,0.0,48.44192634560837,0.0,2.6473875384185934
435,435,2020-09-25,107.895,0.89,82.569,9.335,109.497,0.681,110.307,0.556,112.848,0.977,110.675,1.104,112.642,0.726,111.739,0.841,114.195,0.731,0.656,0.2339999999999999,8.679,0.025,-0.0999999999999999,0.3209999999999999,0.448,0.0699999999999999,0.1849999999999999,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1153846153831175,2.3717948717943584,0.0,0.0,0.0,0.0,0.0,21.907459867799215,1.1720581340833864,3.0380735831130554
436,436,2020-09-28,108.074,0.849,82.836,9.258,109.47,0.686,110.274,0.563,112.976,0.955,110.74,1.086,112.654,0.722,111.954,0.801,114.185,0.732,0.658,0.1909999999999999,8.6,0.028,-0.095,0.2969999999999999,0.428,0.0639999999999999,0.143,0.0739999999999999,30.49645390070776,10.165484633569253,8.724832214764742,2.9082774049215736,0.0,0.0,26.16959064327525,8.723196881091765,31.73076923076794,12.948717948717004,2.3483365949119808,0.7827788649706507,0.0,0.0,0.0,0.0,8.064105825489525,3.0787213198576464
437,437,2020-09-29,108.002,0.864,82.844,9.257,109.59,0.66,110.354,0.54,113.01,0.949,110.875,1.051,112.698,0.71,112.004,0.79,114.202,0.727,0.651,0.2129999999999999,8.606,0.009,-0.1109999999999999,0.2979999999999999,0.3999999999999999,0.0589999999999999,0.139,0.0759999999999999,37.58865248226967,22.695035460992475,26.845637583892834,11.856823266219186,22.34636871508439,7.448789571694825,15.643274853801126,13.937621832358806,38.26923076923069,25.705128205127235,10.958904109588318,4.43574690150009,16.49484536082441,5.4982817869414795,4.325699745546025,1.441899915182013,8.267616382599563,5.8345934473908345
438,438,2020-09-30,108.174,0.825,82.901,9.243,109.542,0.668,110.33,0.544,112.898,0.966,110.991,1.021,112.655,0.718,111.992,0.791,114.195,0.727,0.686,0.1389999999999999,8.557,-0.018,-0.142,0.2799999999999999,0.3349999999999998,0.0319999999999999,0.1049999999999999,0.0409999999999999,35.88652482269514,34.65721040189086,42.41610738255041,25.99552572706932,13.407821229050635,11.918063314711704,40.78947368421222,27.534113060429547,16.730769230767258,28.910256410255283,2.544031311155573,5.283757338551948,11.546391752576794,9.34707903780041,2.544529262084195,2.2900763358767446,11.67838581473527,9.336702674274795
439,439,2020-10-01,108.076,0.843,83.397,9.103,109.55,0.663,110.271,0.553,112.917,0.96,110.898,1.038,112.625,0.719,112.027,0.782,114.323,0.697,0.679,0.1639999999999999,8.424,-0.016,-0.126,0.2809999999999999,0.359,0.0399999999999999,0.1029999999999999,0.0179999999999999,40.85106382978687,38.10874704491723,35.340729001584606,34.86749132267594,16.736401673640007,17.496863872591707,26.461988304093282,27.63157894736889,20.38461538461449,25.128205128204133,0.0,4.500978473581287,0.0,9.34707903780041,35.11450381679155,13.994910941473927,31.628242074927996,17.191414757420954
440,440,2020-10-02,107.817,0.9,83.297,9.135,109.63,0.646,110.384,0.521,113.09,0.931,111.218,0.958,112.567,0.73,111.971,0.791,114.278,0.704,0.704,0.196,8.431,-0.0579999999999999,-0.1829999999999999,0.2270000000000001,0.254,0.026,0.087,0.0,32.907801418439696,36.548463356973905,86.05388272583299,54.603573036655995,33.61344537815061,21.252556093613777,0.0,22.417153996101845,53.65384615384586,30.256410256409186,0.0,0.8480104370518481,23.251028806584067,11.599140186386961,23.664122137405435,20.441051738760397,28.025936599423368,23.777521496362223
441,441,2020-10-05,107.797,0.903,87.068,8.048,109.488,0.674,110.343,0.53,112.912,0.959,111.049,0.997,112.428,0.76,111.863,0.809,114.205,0.717,0.778,0.125,7.27,-0.1039999999999999,-0.248,0.1809999999999999,0.2189999999999999,-0.018,0.031,-0.061,17.58865248226887,30.449172576831813,59.27099841521542,60.221870047544336,4.800000000000182,18.38328235059696,0.0,8.820662768031108,19.423076923076895,31.153846153845734,0.0,0.0,17.06161137440835,13.437546726997482,5.089058524172007,21.289228159456332,100.0,53.218059558117126
442,442,2020-10-06,107.874,0.885,87.66,7.884,109.457,0.679,110.433,0.504,112.913,0.958,111.182,0.963,112.638,0.71,112.074,0.769,114.249,0.706,0.734,0.151,7.15,-0.0549999999999999,-0.2299999999999999,0.2239999999999999,0.2289999999999999,-0.024,0.035,-0.028,47.51773049645313,32.6713947990539,80.34865293185496,75.22451135763446,0.0,12.804481792716958,12.459546925565864,4.153182308521969,26.49350649350443,33.190143190142386,34.82587064676699,11.608623548922319,40.19851116625405,26.837050449082167,16.284987277351867,15.012722646309774,100.0,76.00864553314113
443,443,2020-10-07,107.933,0.871,87.589,7.906,109.485,0.672,110.455,0.496,112.838,0.969,111.158,0.967,112.588,0.72,111.94,0.793,114.226,0.709,0.784,0.0869999999999999,7.122,-0.1119999999999999,-0.288,0.1849999999999999,0.1829999999999999,-0.064,0.009,-0.075,28.510638297871477,31.205673758864492,76.54516640253628,72.05493924986888,7.216494845362222,4.005498281787497,22.00647249191066,11.488673139158855,7.012987012983753,17.643190143188345,26.936026936025986,20.587299194264315,56.09756097560849,37.78589450542364,11.549295774646861,10.974447192056916,98.61894573040269,99.53964857680091
444,444,2020-10-08,107.893,0.875,87.998,7.798,109.578,0.648,110.48,0.48,112.897,0.956,111.182,0.953,112.567,0.717,111.962,0.784,114.194,0.709,0.779,0.0959999999999999,7.019,-0.131,-0.299,0.1769999999999999,0.1739999999999999,-0.062,0.005,-0.07,35.50955414012722,37.17930764481728,88.48167539266987,81.79183157568703,31.18556701031126,12.800687285224521,17.391304347826534,17.285774588434368,22.337662337662483,18.614718614716875,28.898128898127496,30.22000882697348,77.69516728624495,57.997079809369176,2.8037383177571336,10.212673789918625,100.0,99.53964857680091
445,445,2020-10-09,107.913,0.87,88.799,7.578,109.583,0.646,110.439,0.489,112.918,0.951,111.234,0.939,112.578,0.713,111.986,0.778,114.206,0.705,0.779,0.0909999999999999,6.799,-0.133,-0.29,0.1719999999999999,0.1599999999999999,-0.066,-0.001,-0.074,39.331210191082775,34.45046754302716,99.28952042628688,88.10545407383101,34.14634146341594,24.182801106363172,21.01449275362287,20.137423197786703,29.72222222222208,19.69095719095609,32.75109170305812,29.52841584573719,62.453531598508825,65.4154199534541,6.542056074766645,6.965030055723552,100.0,99.53964857680091
446,446,2020-10-13,108.069,0.834,90.047,7.238,109.713,0.618,110.508,0.469,113.104,0.92,111.269,0.928,112.657,0.692,112.131,0.751,114.434,0.658,0.729,0.1049999999999999,6.509,-0.1109999999999999,-0.26,0.191,0.199,-0.037,0.022,-0.0709999999999999,100.0,58.28025477706999,100.0,95.92373193965226,100.0,55.110636157909106,70.10309278350564,36.1696299616517,100.0,50.68662818662818,59.326424870466774,40.32521515721746,100.0,80.04956629491794,91.54411764705998,33.62997067986126,100.0,100.0
447,447,2020-10-14,108.31,0.779,89.588,7.364,109.614,0.637,110.469,0.477,113.108,0.919,111.337,0.909,112.645,0.693,112.129,0.75,114.45,0.654,0.727,0.052,6.637,-0.0899999999999999,-0.25,0.192,0.182,-0.034,0.023,-0.0729999999999999,99.48979591836853,79.60700203648376,100.0,99.76317347542896,61.32812500000412,65.15815548780671,100.0,63.705861845709514,100.0,76.574074074074,78.33935018050468,56.80562225134319,83.54430379746736,81.9992784653254,100.0,66.02872457394221,93.90276301806584,97.96758767268862
448,448,2020-10-15,108.156,0.81,89.274,7.454,109.546,0.648,110.428,0.481,113.013,0.931,111.222,0.932,112.67,0.682,112.044,0.762,114.399,0.659,0.739,0.071,6.715,-0.0909999999999999,-0.258,0.192,0.193,-0.0569999999999999,0.023,-0.0799999999999999,77.80612244897853,92.4319727891157,82.62839879153957,94.20946626384652,34.76562500000499,65.3645833333364,69.9805068226131,80.02786653537292,64.81481481481657,88.27160493827216,89.62962962963259,75.76513489353466,66.24472573839661,83.26300984528801,80.7547169811314,90.76627820939713,89.66301150040123,94.52192483948903
449,449,2020-10-16,108.208,0.797,89.651,7.352,109.488,0.659,110.425,0.48,113.071,0.921,111.06,0.97,112.766,0.658,112.049,0.76,114.382,0.66,0.749,0.048,6.603000000000001,-0.0899999999999999,-0.269,0.172,0.2209999999999999,-0.0909999999999999,0.011,-0.0889999999999999,69.40298507462931,82.23296781399212,53.60134003350132,78.74324627501363,12.109375000002299,36.06770833333717,80.11695906432693,83.36582196231336,86.29629629629454,83.70370370370368,100.0,89.32299327004576,64.9789029535864,71.5893108298168,74.3396226415103,85.03144654088057,94.50838995978366,92.69138815941692
450,450,2020-10-19,108.108,0.818,88.753,7.601,109.46,0.663,110.325,0.505,112.976,0.935,110.977,0.988,112.722,0.666,111.97,0.773,114.29,0.677,0.772,0.0459999999999999,6.829,-0.1089999999999999,-0.267,0.163,0.2159999999999999,-0.1059999999999999,0.001,-0.0949999999999999,39.925373134328,62.37816021931195,22.077922077922757,52.76922030098789,1.1718750000000433,16.015625000002476,60.62378167641401,70.24041585445137,51.11111111111111,67.4074074074074,86.98224852070707,92.20395938344654,22.784810126583643,51.33614627285556,37.500000000001386,64.1981132075477,82.03526308482581,88.7355548483369
451,451,2020-10-20,108.16,0.806,87.997,7.813,109.45,0.664,110.335,0.5,112.95,0.938,111.099,0.957,112.714,0.666,111.762,0.811,114.276,0.678,0.786,0.02,7.026999999999999,-0.122,-0.286,0.1519999999999999,0.1709999999999999,-0.12,0.025,-0.1079999999999999,0.0,36.442786069652435,45.78587699316727,40.48837970153045,0.0,4.427083333334147,70.76023391812785,70.5003248862896,41.481481481483236,59.62962962962962,84.615384615383,90.53254437869668,27.00421940928032,38.25597749648346,32.031249999997485,47.956957547169736,71.31262244612375,82.61875849691108
452,452,2020-10-21,108.152,0.806,88.844,7.579,109.42,0.669,110.322,0.501,112.834,0.956,111.113,0.951,112.565,0.698,111.706,0.82,114.19,0.694,0.821,-0.0149999999999999,6.758,-0.1519999999999999,-0.3199999999999999,0.135,0.13,-0.123,-0.001,-0.127,0.0,13.308457711442665,48.97494305239178,38.946247374493936,0.0,0.3906250000000476,69.20077972709558,66.86159844054583,0.0,30.864197530864768,40.532544378697395,70.71005917159583,21.518987341773443,23.76933895921248,0.0,23.177083333332963,82.17777777777773,78.50855443624245
453,453,2020-10-22,107.881,0.864,88.636,7.641,109.233,0.705,110.228,0.52,112.714,0.973,110.766,1.031,112.473,0.714,111.577,0.841,114.036,0.72,0.861,0.003,6.78,-0.156,-0.3409999999999999,0.1119999999999999,0.1699999999999999,-0.147,-0.02,-0.141,0.0,0.0,0.0,31.586940015186354,0.0,0.0,16.374269005848408,52.11176088369063,0.0,13.827160493827732,13.313609467455809,46.15384615384539,0.0,16.174402250351264,0.0,10.677083333332504,79.09629629629627,77.52889884006593
454,454,2020-10-23,107.89,0.86,89.222,7.48,109.239,0.703,110.242,0.514,112.674,0.979,111.053,0.958,112.364,0.737,111.608,0.834,114.067,0.712,0.841,0.019,6.639,-0.138,-0.3269999999999999,0.138,0.1169999999999999,-0.1039999999999999,-0.007,-0.129,5.595667870037147,1.8652226233457156,50.26269702276585,33.07921335838588,1.250000000000074,0.4166666666667245,18.128654970760735,34.567901234568254,0.0,0.0,0.0,17.94871794871773,5.000000000003553,8.839662447259007,7.487922705311978,2.495974235104002,72.30614300100694,77.86007235836033
455,455,2020-10-26,108.089,0.815,88.962,7.554,109.337,0.681,110.206,0.522,112.828,0.953,111.062,0.954,112.406,0.725,111.693,0.817,114.201,0.683,0.803,0.0119999999999999,6.751,-0.122,-0.281,0.1499999999999999,0.1509999999999999,-0.078,0.0139999999999999,-0.12,20.938628158844626,8.84476534296059,51.838879159368354,34.03385872737807,21.666666666666963,7.638888888889046,49.311926605504574,27.938283527371254,35.483870967741304,11.827956989247086,10.44776119403022,7.920456887162004,0.0,1.6666666666678605,39.85507246376605,15.780998389692686,55.85842148087898,69.08695359272741
